anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes,redistribution_factor_atm,T_eq_atm_K,T_eq_atm_C,climate_classification,column_heat_capacity_J_m2_K,radiative_timescale_seconds,radiative_timescale_days,radiative_timescale_years
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,265.377758439656,-7.772241560343957,frio/marginal,10368365.61319922,2877571.2456741445,33.30522275085816,0.09118473032404696
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,268.7866943308398,-4.363305669160184,frio/marginal,17513595.03992204,5301747.174940463,61.36281452477388,0.1680022300472933
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,274.1180047082521,0.9680047082521241,temperado,10669629.904695785,2854795.1785756047,33.041610863143575,0.09046300030977023
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,259.2448028295225,-13.905197170477493,frio/marginal,8916160.286502384,2820239.4039418357,32.64165976784532,0.08936799388869356
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,1366.0000000000002,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,265.377758439656,-7.772241560343957,frio/marginal,10368365.61319922,2877571.2456741445,33.30522275085816,0.09118473032404696
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,1366.0000000000002,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,268.7866943308398,-4.363305669160184,frio/marginal,17513595.03992204,5301747.174940463,61.36281452477388,0.1680022300472933
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,1366.0000000000002,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,274.1180047082521,0.9680047082521241,temperado,10669629.904695785,2854795.1785756047,33.041610863143575,0.09046300030977023
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,1366.0000000000002,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,259.2448028295225,-13.905197170477493,frio/marginal,8916160.286502384,2820239.4039418357,32.64165976784532,0.08936799388869356
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,1366.0000000000002,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,265.377758439656,-7.772241560343957,frio/marginal,10368365.61319922,2877571.2456741445,33.30522275085816,0.09118473032404696
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,1366.0000000000002,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,268.7866943308398,-4.363305669160184,frio/marginal,17513595.03992204,5301747.174940463,61.36281452477388,0.1680022300472933
