anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,gas,molecular_mass_amu,jeans_lambda,retention_class
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,H2,2.016,67.18712742628408,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,He,4.003,133.40777335685277,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,CH4,16.04,534.5642479749982,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,NH3,17.03,567.5579266218342,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,H2O,18.015,600.3849705280296,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,N2,28.014,933.6211248610724,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,CO,28.01,933.48781706856,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,O2,31.998,1066.3956862034909,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,H2S,34.08,1135.7823922062305,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,CO2,44.01,1466.7189871184335,retenção plausível
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,SO2,64.07,2135.257566568462,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,H2,2.016,73.61159121303456,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,He,4.003,146.1642855286594,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,CH4,16.04,585.6795253259296,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,NH3,17.03,621.8280745823306,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,H2O,18.015,657.7940554081437,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,N2,28.014,1022.8944028977926,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,CO,28.01,1022.7483481533224,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,O2,31.998,1168.364928390218,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,H2S,34.08,1244.3864228870125,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,CO2,44.01,1606.967326034549,retenção plausível
mars_cold,earth_effective_temperature,Earth-like,206.03962905430117,-67.11037094569883,11.184982503114451,SO2,64.07,2339.4318695531365,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,H2,2.016,65.05469790044523,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,He,4.003,129.17358913466384,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,CH4,16.04,517.5978940094948,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,NH3,17.03,549.5443974427492,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,H2O,18.015,581.329554899068,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,N2,28.014,903.989239574937,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,CO,28.01,903.8601627933884,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,O2,31.998,1032.5497139972454,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,H2S,34.08,1099.7341787932407,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,CO2,44.01,1420.1672889873983,retenção plausível
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,SO2,64.07,2067.4873484531377,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,H2,2.016,14.402971119386333,retenção frágil
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,He,4.003,28.598756642313244,retenção moderada
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,CH4,16.04,114.59506783479998,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,NH3,17.03,121.66795543807007,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,H2O,18.015,128.7051213867782,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,N2,28.014,200.14128617980592,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,CO,28.01,200.11270885615636,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,O2,31.998,228.60430053478368,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,H2S,34.08,243.478797494388,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,CO2,44.01,314.4220034544606,retenção plausível
mars_cold,mars_like_radiative_case,Mars-like,212.7871051306364,-60.3628948693636,5.027887186236593,SO2,64.07,457.7372815570845,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,H2,2.016,27.698227810054583,retenção moderada
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,He,4.003,54.99801881133357,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,CH4,16.04,220.37677285380724,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,NH3,17.03,233.97858115338764,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,H2O,18.015,247.511693451455,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,N2,28.014,384.88995727721675,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,CO,28.01,384.83500047600637,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,O2,31.998,439.6269312828008,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,H2S,34.08,468.23194631282735,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,CO2,44.01,604.6622053177093,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,SO2,64.07,880.2705633879945,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,H2,2.016,54.4442754020652,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,He,4.003,108.10537422344593,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,CH4,16.04,433.177667385479,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,NH3,17.03,459.9136954847075,retenção plausível
