anchor,r_orb_GM_c2,spin,phi_flux_W_m2,phi_ref_W_m2,g_ref,orbit_radius_m,time_dilation_gamma,roche_margin,survives_tidal,T_bakala_K,T_bakala_C,radiative_case,planet,planet_mass_kg,planet_radius_m,planet_density_kg_m3,planet_gravity_m_s2,planet_escape_velocity_km_s,albedo,emissivity,redistribution_factor,T_K,T_C,thermal_classification
mars_cold,1.0009,0.999999999836,589.0,589.0,11450.0,242391785775.88055,2567.0798799339277,1.002879943330567,True,225.7412324149625,-47.40876758503748,Blackbody Ideal,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.0,1.0,4.0,225.7412324149625,-47.40876758503748,muito frio
mars_cold,1.0009,0.999999999836,589.0,589.0,11450.0,242391785775.88055,2567.0798799339277,1.002879943330567,True,225.7412324149625,-47.40876758503748,earth_effective_temperature,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.306,1.0,4.0,206.03962905430114,-67.11037094569883,muito frio
mars_cold,1.0009,0.999999999836,589.0,589.0,11450.0,242391785775.88055,2567.0798799339277,1.002879943330567,True,225.7412324149625,-47.40876758503748,earth_surface_greenhouse_effective,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.306,0.61,4.0,233.14080976658707,-40.00919023341291,muito frio
mars_cold,1.0009,0.999999999836,589.0,589.0,11450.0,242391785775.88055,2567.0798799339277,1.002879943330567,True,225.7412324149625,-47.40876758503748,mars_like_radiative_case,Mars-like,6.42e+23,3390000.0,3934.1174758911648,3.7285618816404313,5.027887186236593,0.25,0.95,4.0,212.78710513063638,-60.3628948693636,muito frio
mars_cold,1.0009,0.999999999836,589.0,589.0,11450.0,242391785775.88055,2567.0798799339277,1.002879943330567,True,225.7412324149625,-47.40876758503748,venus_greenhouse_effective,Venus-like,4.867e+24,6052000.0,5241.746077656207,8.868889239938161,10.360937957550536,0.756,0.013,4.0,469.8643663935213,196.71436639352135,"muito quente, acima da faixa clássica de água líquida"
earth,1.00057,0.999999999955,1366.0000000000002,1366.0,18260.0,242311868412.2018,4052.714673044308,1.0025492905367823,True,278.57667010212754,5.426670102127559,Blackbody Ideal,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.0,1.0,4.0,278.57667010212754,5.426670102127559,"temperado, compatível com água líquida em princípio"
earth,1.00057,0.999999999955,1366.0000000000002,1366.0,18260.0,242311868412.2018,4052.714673044308,1.0025492905367823,True,278.57667010212754,5.426670102127559,earth_effective_temperature,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.306,1.0,4.0,254.26384518675272,-18.88615481324726,"frio, abaixo do ponto de congelamento da água"
earth,1.00057,0.999999999955,1366.0000000000002,1366.0,18260.0,242311868412.2018,4052.714673044308,1.0025492905367823,True,278.57667010212754,5.426670102127559,earth_surface_greenhouse_effective,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.306,0.61,4.0,287.70814155165647,14.55814155165649,"temperado, compatível com água líquida em princípio"
earth,1.00057,0.999999999955,1366.0000000000002,1366.0,18260.0,242311868412.2018,4052.714673044308,1.0025492905367823,True,278.57667010212754,5.426670102127559,mars_like_radiative_case,Mars-like,6.42e+23,3390000.0,3934.1174758911648,3.7285618816404313,5.027887186236593,0.25,0.95,4.0,262.59058902894077,-10.559410971059208,"frio, abaixo do ponto de congelamento da água"
earth,1.00057,0.999999999955,1366.0000000000002,1366.0,18260.0,242311868412.2018,4052.714673044308,1.0025492905367823,True,278.57667010212754,5.426670102127559,venus_greenhouse_effective,Venus-like,4.867e+24,6052000.0,5241.746077656207,8.868889239938161,10.360937957550536,0.756,0.013,4.0,579.8375830116065,306.68758301160653,"muito quente, acima da faixa clássica de água líquida"
venus_hot,1.00042,0.9999999999825,2611.0,2611.0,24742.0,242275542337.80246,5499.68673766747,1.002398993812335,True,327.55466272083544,54.40466272083546,Blackbody Ideal,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.0,1.0,4.0,327.55466272083544,54.40466272083546,"quente, mas ainda abaixo da ebulição da água a 1 atm"
venus_hot,1.00042,0.9999999999825,2611.0,2611.0,24742.0,242275542337.80246,5499.68673766747,1.002398993812335,True,327.55466272083544,54.40466272083546,earth_effective_temperature,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.306,1.0,4.0,298.96727540650375,25.817275406503768,"temperado, compatível com água líquida em princípio"
venus_hot,1.00042,0.9999999999825,2611.0,2611.0,24742.0,242275542337.80246,5499.68673766747,1.002398993812335,True,327.55466272083544,54.40466272083546,earth_surface_greenhouse_effective,Earth-like,5.97e+24,6370000.0,5514.008418404722,9.819767158161417,11.184982503114453,0.306,0.61,4.0,338.2915849824837,65.14158498248372,"quente, mas ainda abaixo da ebulição da água a 1 atm"
venus_hot,1.00042,0.9999999999825,2611.0,2611.0,24742.0,242275542337.80246,5499.68673766747,1.002398993812335,True,327.55466272083544,54.40466272083546,mars_like_radiative_case,Mars-like,6.42e+23,3390000.0,3934.1174758911648,3.7285618816404313,5.027887186236593,0.25,0.95,4.0,308.75798677436813,35.60798677436816,"temperado, compatível com água líquida em princípio"
venus_hot,1.00042,0.9999999999825,2611.0,2611.0,24742.0,242275542337.80246,5499.68673766747,1.002398993812335,True,327.55466272083544,54.40466272083546,venus_greenhouse_effective,Venus-like,4.867e+24,6052000.0,5241.746077656207,8.868889239938161,10.360937957550536,0.756,0.013,4.0,681.781801277912,408.631801277912,"muito quente, acima da faixa clássica de água líquida"
