case_id,anchor,planet,candidate_atmosphere,mixture_name,climate_priority,r_orb_GM_c2,spin,phi_flux_W_m2,g_ref,orbit_radius_m,orbit_radius_AU,time_dilation_gamma,roche_margin,survives_tidal,T_bakala_K,planet_mass_kg,planet_radius_m,planet_diameter_km,planet_density_kg_m3,planet_gravity_m_s2,planet_escape_velocity_km_s,surface_pressure_bar,surface_pressure_Pa,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,column_heat_capacity_J_m2_K,albedo_assumed,emissivity_assumed,mole_fractions,molecules_for_psg,T_surface_K_for_PSG,T_surface_C_for_PSG,T_eq_atm_K,T_eq_atm_C,climate_classification,radiative_timescale_days,category,required_gases,optional_gases,retained_gases,scientific_reason,comment,notes
earth_Earth_like_N2_CO2_CH4_H2O_reducing_CH4,earth,Earth-like,N2_CO2_CH4_H2O,reducing_CH4,alta,1.00057,0.999999999955,1366.0000000000002,18260.0,242311868412.2018,1.6197547951610103,4052.714673044308,1.0025492905367823,True,278.57667010212754,5.97e+24,6370000.0,12740.0,5514.008418404722,9.819767158161415,11.184982503114451,1.0,100000.0,28.91491,30.2951,352189.95496617554,10669629.904695785,0.25,0.8,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,274.1180047082521,0.968004708252124,274.1180047082521,0.968004708252124,temperado,33.041610863143575,redutora / tipo Terra arqueana,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. faixa temperada.,"Cenário redutor temperado na âncora earth; bom para testar CH4, CO2 e H2O. T_eq_atm=274.12 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
earth_Mars_like_N2_CO2_CH4_H2O_reducing_CH4,earth,Mars-like,N2_CO2_CH4_H2O,reducing_CH4,alta,1.00057,0.999999999955,1366.0000000000002,18260.0,242311868412.2018,1.6197547951610103,4052.714673044308,1.0025492905367823,True,278.57667010212754,6.42e+23,3390000.0,6780.0,3934.1174758911648,3.7285618816404313,5.027887186236593,1.0,100000.0,28.91491,30.2951,927548.86816834,28100185.71604668,0.25,0.8,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,274.1180047082521,0.968004708252124,274.1180047082521,0.968004708252124,temperado,87.0203943253037,redutora / tipo Terra arqueana,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. cenário frio/marginal; efeito estufa pode compensar.,"Cenário redutor temperado na âncora earth; bom para testar CH4, CO2 e H2O. T_eq_atm=274.12 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
earth_Venus_like_N2_CO2_CH4_H2O_reducing_CH4,earth,Venus-like,N2_CO2_CH4_H2O,reducing_CH4,alta,1.00057,0.999999999955,1366.0000000000002,18260.0,242311868412.2018,1.6197547951610103,4052.714673044308,1.0025492905367823,True,278.57667010212754,4.867e+24,6052000.0,12104.0,5241.746077656207,8.868889239938161,10.360937957550536,1.0,100000.0,28.91491,30.2951,389949.99933445017,11813574.224837102,0.25,0.8,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,274.1180047082521,0.968004708252124,274.1180047082521,0.968004708252124,temperado,36.58416701671528,redutora / tipo Terra arqueana,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. cenário muito quente; risco de superaquecimento.,"Cenário redutor temperado na âncora earth; bom para testar CH4, CO2 e H2O. T_eq_atm=274.12 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
venus_hot_Earth_like_sulfur_volcanic_sulfur_volcanic,venus_hot,Earth-like,sulfur_volcanic,sulfur_volcanic,alta,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,5.97e+24,6370000.0,12740.0,5514.008418404722,9.819767158161415,11.184982503114451,1.0,100000.0,40.93205,35.8379,248791.37132762757,8916160.286502384,0.4,0.8,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",CO2=0.8; N2=0.15; H2O=0.03; SO2=0.01; H2S=0.01,304.8239607495588,31.67396074955883,304.8239607495588,31.67396074955883,temperado,20.07960218467909,secundária vulcânica / sulfurada,"CO2, N2","SO2, H2S, H2O","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário inspirado em atmosferas secundárias com SO2/H2S; útil para testar vulcanismo e falsos positivos.,"Gases sulfurados retidos preliminarmente (H2S, SO2); depois testar fotólise e vulcanismo. cenário quente; avaliar perda de água e efeito estufa.","Cenário vulcânico/sulfurado na âncora venus_hot; bom para testar SO2, H2S, CO2 e aerossóis. T_eq_atm=304.82 K."
venus_hot_Mars_like_sulfur_volcanic_sulfur_volcanic,venus_hot,Mars-like,sulfur_volcanic,sulfur_volcanic,alta,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,6.42e+23,3390000.0,6780.0,3934.1174758911648,3.7285618816404313,5.027887186236593,1.0,100000.0,40.93205,35.8379,655232.074711367,23482141.5702985,0.4,0.8,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",CO2=0.8; N2=0.15; H2O=0.03; SO2=0.01; H2S=0.01,304.8239607495588,31.67396074955883,304.8239607495588,31.67396074955883,temperado,52.88286056159197,secundária vulcânica / sulfurada,"CO2, N2","SO2, H2S, H2O","CH4, CO, CO2, H2O, H2S, N2, NH3, O2, SO2",Cenário inspirado em atmosferas secundárias com SO2/H2S; útil para testar vulcanismo e falsos positivos.,"Gases sulfurados retidos preliminarmente (H2S, SO2); depois testar fotólise e vulcanismo. faixa temperada.","Cenário vulcânico/sulfurado na âncora venus_hot; bom para testar SO2, H2S, CO2 e aerossóis. T_eq_atm=304.82 K."
venus_hot_Venus_like_sulfur_volcanic_sulfur_volcanic,venus_hot,Venus-like,sulfur_volcanic,sulfur_volcanic,alta,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,4.867e+24,6052000.0,12104.0,5241.746077656207,8.868889239938161,10.360937957550536,1.0,100000.0,40.93205,35.8379,275465.5370365199,9872106.369761096,0.4,0.8,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",CO2=0.8; N2=0.15; H2O=0.03; SO2=0.01; H2S=0.01,304.8239607495588,31.67396074955883,304.8239607495588,31.67396074955883,temperado,22.23243663864188,secundária vulcânica / sulfurada,"CO2, N2","SO2, H2S, H2O","CH4, CO, CO2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário inspirado em atmosferas secundárias com SO2/H2S; útil para testar vulcanismo e falsos positivos.,"Gases sulfurados retidos preliminarmente (H2S, SO2); depois testar fotólise e vulcanismo. cenário muito quente; risco de superaquecimento.","Cenário vulcânico/sulfurado na âncora venus_hot; bom para testar SO2, H2S, CO2 e aerossóis. T_eq_atm=304.82 K."
venus_hot_Earth_like_N2_CO2_H2O_N2_CO2_H2O_baseline,venus_hot,Earth-like,N2_CO2_H2O,N2_CO2_H2O_baseline,média,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,5.97e+24,6370000.0,12740.0,5514.008418404722,9.819767158161415,11.184982503114451,1.0,100000.0,29.35365,29.8864,346925.8797713749,10368365.61319922,0.3,0.85,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",N2=0.9; CO2=0.09; H2O=0.01,312.03518272885333,38.88518272885335,312.03518272885333,38.88518272885335,quente/marginal,20.487794685248623,atmosfera secundária rochosa / alto peso molecular,"N2, CO2, H2O","CH4, O2, O3","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário baseline para planeta rochoso ou water world; inspirado em atmosferas N2/CO2 de alto peso molecular discutidas por Damiano et al.,Gases essenciais passam no filtro de retenção. cenário quente; avaliar perda de água e efeito estufa.,Baseline de alto peso molecular na âncora venus_hot; bom para testar CO2 e H2O. T_eq_atm=312.04 K.
venus_hot_Earth_like_CO2_N2_H2O_CO2_dominated,venus_hot,Earth-like,CO2_N2_H2O,CO2_dominated,média,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,5.97e+24,6370000.0,12740.0,5514.008418404722,9.819767158161415,11.184982503114451,2.0,200000.0,42.31041,36.3826,481372.8276682272,17513595.03992204,0.35,0.75,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",CO2=0.9; N2=0.09; H2O=0.01,316.0434611165026,42.89346111650264,316.0434611165026,42.89346111650264,quente/marginal,37.74749548132554,CO2-dominante / outgassing,"CO2, N2, H2O","SO2, H2S, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Cenário plausível para atmosfera secundária por outgassing, com efeito estufa forte.",Gases essenciais passam no filtro de retenção. cenário quente; avaliar perda de água e efeito estufa.,Cenário CO2-dominante na âncora venus_hot; bom para testar efeito estufa e bandas fortes de CO2. T_eq_atm=316.04 K.
venus_hot_Earth_like_N2_CO2_CH4_H2O_reducing_CH4,venus_hot,Earth-like,N2_CO2_CH4_H2O,reducing_CH4,média,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,5.97e+24,6370000.0,12740.0,5514.008418404722,9.819767158161415,11.184982503114451,1.0,100000.0,28.91491,30.2951,352189.95496617554,10669629.904695785,0.25,0.8,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,322.31209650471794,49.162096504717965,322.31209650471794,49.162096504717965,quente/marginal,20.325633144625133,redutora / tipo Terra arqueana,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. cenário quente; avaliar perda de água e efeito estufa.,"Cenário redutor temperado na âncora venus_hot; bom para testar CH4, CO2 e H2O. T_eq_atm=322.31 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
venus_hot_Mars_like_N2_CO2_H2O_N2_CO2_H2O_baseline,venus_hot,Mars-like,N2_CO2_H2O,N2_CO2_H2O_baseline,média,1.00042,0.9999999999825,2611.0,24742.0,242275542337.8025,1.619511970351878,5499.68673766747,1.002398993812335,True,327.55466272083544,6.42e+23,3390000.0,6780.0,3934.1174758911648,3.7285618816404313,5.027887186236593,1.0,100000.0,29.35365,29.8864,913685.0798346854,27306757.76997134,0.3,0.85,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",N2=0.9; CO2=0.09; H2O=0.01,312.03518272885333,38.88518272885335,312.03518272885333,38.88518272885335,quente/marginal,53.95790113716556,atmosfera secundária rochosa / alto peso molecular,"N2, CO2, H2O","CH4, O2, O3","CH4, CO, CO2, H2O, H2S, N2, NH3, O2, SO2",Cenário baseline para planeta rochoso ou water world; inspirado em atmosferas N2/CO2 de alto peso molecular discutidas por Damiano et al.,Gases essenciais passam no filtro de retenção. faixa temperada.,Baseline de alto peso molecular na âncora venus_hot; bom para testar CO2 e H2O. T_eq_atm=312.04 K.
