case_id,anchor,planet,candidate_atmosphere,mixture_name,climate_priority,T_surface_K_for_PSG,T_surface_C_for_PSG,surface_pressure_bar,surface_pressure_Pa,planet_gravity_m_s2,planet_radius_m,mean_molar_mass_g_mol,cp_mix_J_mol_K,albedo_assumed,emissivity_assumed,molecules_for_psg,notes
earth_Earth_like_N2_CO2_CH4_H2O_reducing_CH4,earth,Earth-like,N2_CO2_CH4_H2O,reducing_CH4,alta,274.1180047082521,0.968004708252124,1.0,100000.0,9.819767158161415,,28.91491,30.2951,0.25,0.8,N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,"Cenário redutor temperado na âncora earth; bom para testar CH4, CO2 e H2O. T_eq_atm=274.12 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
earth_Mars_like_N2_CO2_CH4_H2O_reducing_CH4,earth,Mars-like,N2_CO2_CH4_H2O,reducing_CH4,alta,274.1180047082521,0.968004708252124,1.0,100000.0,3.7285618816404313,,28.91491,30.2951,0.25,0.8,N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,"Cenário redutor temperado na âncora earth; bom para testar CH4, CO2 e H2O. T_eq_atm=274.12 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
earth_Venus_like_N2_CO2_CH4_H2O_reducing_CH4,earth,Venus-like,N2_CO2_CH4_H2O,reducing_CH4,alta,274.1180047082521,0.968004708252124,1.0,100000.0,8.868889239938161,,28.91491,30.2951,0.25,0.8,N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,"Cenário redutor temperado na âncora earth; bom para testar CH4, CO2 e H2O. T_eq_atm=274.12 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
venus_hot_Earth_like_sulfur_volcanic_sulfur_volcanic,venus_hot,Earth-like,sulfur_volcanic,sulfur_volcanic,alta,304.8239607495588,31.67396074955883,1.0,100000.0,9.819767158161415,,40.93205,35.8379,0.4,0.8,CO2=0.8; N2=0.15; H2O=0.03; SO2=0.01; H2S=0.01,"Cenário vulcânico/sulfurado na âncora venus_hot; bom para testar SO2, H2S, CO2 e aerossóis. T_eq_atm=304.82 K."
venus_hot_Mars_like_sulfur_volcanic_sulfur_volcanic,venus_hot,Mars-like,sulfur_volcanic,sulfur_volcanic,alta,304.8239607495588,31.67396074955883,1.0,100000.0,3.7285618816404313,,40.93205,35.8379,0.4,0.8,CO2=0.8; N2=0.15; H2O=0.03; SO2=0.01; H2S=0.01,"Cenário vulcânico/sulfurado na âncora venus_hot; bom para testar SO2, H2S, CO2 e aerossóis. T_eq_atm=304.82 K."
venus_hot_Venus_like_sulfur_volcanic_sulfur_volcanic,venus_hot,Venus-like,sulfur_volcanic,sulfur_volcanic,alta,304.8239607495588,31.67396074955883,1.0,100000.0,8.868889239938161,,40.93205,35.8379,0.4,0.8,CO2=0.8; N2=0.15; H2O=0.03; SO2=0.01; H2S=0.01,"Cenário vulcânico/sulfurado na âncora venus_hot; bom para testar SO2, H2S, CO2 e aerossóis. T_eq_atm=304.82 K."
venus_hot_Earth_like_N2_CO2_H2O_N2_CO2_H2O_baseline,venus_hot,Earth-like,N2_CO2_H2O,N2_CO2_H2O_baseline,média,312.03518272885333,38.88518272885335,1.0,100000.0,9.819767158161415,,29.35365,29.8864,0.3,0.85,N2=0.9; CO2=0.09; H2O=0.01,Baseline de alto peso molecular na âncora venus_hot; bom para testar CO2 e H2O. T_eq_atm=312.04 K.
venus_hot_Earth_like_CO2_N2_H2O_CO2_dominated,venus_hot,Earth-like,CO2_N2_H2O,CO2_dominated,média,316.0434611165026,42.89346111650264,2.0,200000.0,9.819767158161415,,42.31041,36.3826,0.35,0.75,CO2=0.9; N2=0.09; H2O=0.01,Cenário CO2-dominante na âncora venus_hot; bom para testar efeito estufa e bandas fortes de CO2. T_eq_atm=316.04 K.
venus_hot_Earth_like_N2_CO2_CH4_H2O_reducing_CH4,venus_hot,Earth-like,N2_CO2_CH4_H2O,reducing_CH4,média,322.31209650471794,49.162096504717965,1.0,100000.0,9.819767158161415,,28.91491,30.2951,0.25,0.8,N2=0.84; CO2=0.1; CH4=0.05; H2O=0.01,"Cenário redutor temperado na âncora venus_hot; bom para testar CH4, CO2 e H2O. T_eq_atm=322.31 K. Atenção: CH4 pode ser vulnerável à fotólise UV."
venus_hot_Mars_like_N2_CO2_H2O_N2_CO2_H2O_baseline,venus_hot,Mars-like,N2_CO2_H2O,N2_CO2_H2O_baseline,média,312.03518272885333,38.88518272885335,1.0,100000.0,3.7285618816404313,,29.35365,29.8864,0.3,0.85,N2=0.9; CO2=0.09; H2O=0.01,Baseline de alto peso molecular na âncora venus_hot; bom para testar CO2 e H2O. T_eq_atm=312.04 K.
